date,timestamp_ms,datetime_utc,data_type,value
2026-04-16,1776397548560,2026-04-17 03:45:48.560,Breathing,6.36
2026-04-16,1776397549200,2026-04-17 03:45:49.200,Breathing,15.84
2026-04-16,1776397549840,2026-04-17 03:45:49.840,Breathing,14.76
2026-04-16,1776397550480,2026-04-17 03:45:50.480,Breathing,9.6
2026-04-16,1776397551120,2026-04-17 03:45:51.120,Breathing,-14.28
2026-04-16,1776397551760,2026-04-17 03:45:51.760,Breathing,-18.72
2026-04-16,1776397552400,2026-04-17 03:45:52.400,Breathing,-11.88
2026-04-16,1776397553040,2026-04-17 03:45:53.040,Breathing,-1.32
2026-04-16,1776397553680,2026-04-17 03:45:53.680,Breathing,14.28
2026-04-16,1776397554320,2026-04-17 03:45:54.320,Breathing,13.92
2026-04-16,1776397554960,2026-04-17 03:45:54.960,Breathing,12.24
2026-04-16,1776397555600,2026-04-17 03:45:55.600,Breathing,-9.72
2026-04-16,1776397556240,2026-04-17 03:45:56.240,Breathing,-17.64
2026-04-16,1776397556880,2026-04-17 03:45:56.880,Breathing,-11.76
2026-04-16,1776397557520,2026-04-17 03:45:57.520,Breathing,-2.64
2026-04-16,1776397558160,2026-04-17 03:45:58.160,Breathing,11.52
2026-04-16,1776397558800,2026-04-17 03:45:58.800,Breathing,15.36
2026-04-16,1776397559440,2026-04-17 03:45:59.440,Breathing,13.44
2026-04-16,1776397560080,2026-04-17 03:46:00.080,Breathing,6.12
2026-04-16,1776397560720,2026-04-17 03:46:00.720,Breathing,-16.8
2026-04-16,1776397561360,2026-04-17 03:46:01.360,Breathing,-16.8
2026-04-16,1776397562000,2026-04-17 03:46:02.000,Breathing,-8.04
2026-04-16,1776397562640,2026-04-17 03:46:02.640,Breathing,-0.72
2026-04-16,1776397563280,2026-04-17 03:46:03.280,Breathing,14.88
2026-04-16,1776397563920,2026-04-17 03:46:03.920,Breathing,15.24
2026-04-16,1776397564560,2026-04-17 03:46:04.560,Breathing,10.68
2026-04-16,1776397565200,2026-04-17 03:46:05.200,Breathing,-10.08
2026-04-16,1776397565840,2026-04-17 03:46:05.840,Breathing,-17.04
2026-04-16,1776397566480,2026-04-17 03:46:06.480,Breathing,-13.68
2026-04-16,1776397567120,2026-04-17 03:46:07.120,Breathing,-3.12
2026-04-16,1776397567760,2026-04-17 03:46:07.760,Breathing,10.2
2026-04-16,1776397568400,2026-04-17 03:46:08.400,Breathing,13.44
2026-04-16,1776397569040,2026-04-17 03:46:09.040,Breathing,11.64
2026-04-16,1776397569680,2026-04-17 03:46:09.680,Breathing,8.28
2026-04-16,1776397570320,2026-04-17 03:46:10.320,Breathing,-14.52
2026-04-16,1776397570960,2026-04-17 03:46:10.960,Breathing,-16.2
2026-04-16,1776397571600,2026-04-17 03:46:11.600,Breathing,-10.92
2026-04-16,1776397572240,2026-04-17 03:46:12.240,Breathing,0.12
2026-04-16,1776397572880,2026-04-17 03:46:12.880,Breathing,12.84
2026-04-16,1776397573520,2026-04-17 03:46:13.520,Breathing,14.04
2026-04-16,1776397574160,2026-04-17 03:46:14.160,Breathing,0.24
2026-04-16,1776397574800,2026-04-17 03:46:14.800,Breathing,-18.48
2026-04-16,1776397575440,2026-04-17 03:46:15.440,Breathing,-13.08
2026-04-16,1776397576080,2026-04-17 03:46:16.080,Breathing,1.92
2026-04-16,1776397576720,2026-04-17 03:46:16.720,Breathing,15.12
2026-04-16,1776397577360,2026-04-17 03:46:17.360,Breathing,15.96
