Timestamp_ET,LeakRate_Lpm
2026-03-14 22:58:27.000,8.4
2026-03-14 22:58:31.000,8.4
2026-03-14 22:58:31.000,7.2
2026-03-14 23:01:39.000,7.2
2026-03-14 23:01:39.000,8.4
2026-03-14 23:01:41.000,8.4
2026-03-14 23:01:41.000,7.2
2026-03-14 23:03:11.000,7.2
2026-03-14 23:03:11.000,8.4
2026-03-14 23:03:13.000,8.4
2026-03-14 23:03:13.000,7.2
2026-03-14 23:04:39.000,7.2
2026-03-14 23:04:39.000,8.4
2026-03-14 23:04:41.000,8.4
2026-03-14 23:04:41.000,7.2
2026-03-14 23:06:51.000,7.2
2026-03-14 23:06:51.000,8.4
2026-03-14 23:06:53.000,8.4
2026-03-14 23:06:53.000,7.2
2026-03-14 23:06:55.000,7.2
2026-03-14 23:06:55.000,8.4
2026-03-14 23:06:59.000,8.4
2026-03-14 23:06:59.000,7.2
2026-03-14 23:07:31.000,7.2
2026-03-14 23:07:31.000,8.4
2026-03-14 23:07:33.000,8.4
2026-03-14 23:07:33.000,7.2
2026-03-14 23:07:49.000,7.2
2026-03-14 23:07:49.000,8.4
2026-03-14 23:07:51.000,8.4
2026-03-14 23:07:51.000,7.2
2026-03-14 23:09:19.000,7.2
2026-03-14 23:09:19.000,8.4
2026-03-14 23:09:21.000,8.4
2026-03-14 23:09:21.000,7.2
2026-03-14 23:09:23.000,7.2
2026-03-14 23:09:23.000,8.4
2026-03-14 23:09:25.000,8.4
2026-03-14 23:09:25.000,7.2
2026-03-14 23:09:29.000,7.2
2026-03-14 23:09:29.000,8.4
2026-03-14 23:09:31.000,8.4
2026-03-14 23:09:31.000,7.2
2026-03-14 23:10:05.000,7.2
2026-03-14 23:10:05.000,8.4
2026-03-14 23:10:19.000,8.4
2026-03-14 23:10:19.000,7.2
2026-03-14 23:11:01.000,7.2
2026-03-14 23:11:01.000,8.4
2026-03-14 23:11:05.000,8.4
2026-03-14 23:11:05.000,7.2
2026-03-14 23:11:11.000,7.2
2026-03-14 23:11:11.000,8.4
2026-03-14 23:11:17.000,8.4
2026-03-14 23:11:17.000,7.2
2026-03-14 23:11:39.000,7.2
2026-03-14 23:11:39.000,8.4
2026-03-14 23:11:41.000,8.4
2026-03-14 23:11:41.000,7.2
2026-03-14 23:11:45.000,7.2
2026-03-14 23:11:45.000,8.4
2026-03-14 23:11:49.000,8.4
2026-03-14 23:11:49.000,7.2
2026-03-14 23:11:51.000,7.2
2026-03-14 23:11:51.000,8.4
2026-03-14 23:11:53.000,8.4
2026-03-14 23:11:53.000,7.2
2026-03-14 23:14:27.000,7.2
2026-03-14 23:14:27.000,8.4
2026-03-14 23:14:31.000,8.4
2026-03-14 23:14:31.000,7.2
2026-03-14 23:14:33.000,7.2
2026-03-14 23:14:33.000,8.4
2026-03-14 23:14:35.000,8.4
2026-03-14 23:14:35.000,7.2
2026-03-14 23:14:53.000,7.2
2026-03-14 23:14:53.000,8.4
2026-03-14 23:14:57.000,8.4
2026-03-14 23:14:57.000,7.2
2026-03-14 23:15:21.000,7.2
2026-03-14 23:15:21.000,8.4
2026-03-14 23:15:39.000,8.4
2026-03-14 23:15:39.000,7.2
2026-03-14 23:16:05.000,7.2
2026-03-14 23:16:05.000,8.4
2026-03-14 23:16:07.000,8.4
2026-03-14 23:16:07.000,7.2
2026-03-14 23:16:27.000,7.2
2026-03-14 23:16:27.000,8.4
2026-03-14 23:16:35.000,8.4
2026-03-14 23:16:35.000,7.2
2026-03-14 23:16:59.000,7.2
2026-03-14 23:16:59.000,8.4
2026-03-14 23:17:03.000,8.4
2026-03-14 23:17:03.000,7.2
2026-03-14 23:17:05.000,7.2
2026-03-14 23:17:05.000,8.4
2026-03-14 23:17:07.000,8.4
2026-03-14 23:17:07.000,7.2
2026-03-14 23:17:09.000,7.2
2026-03-14 23:17:09.000,8.4
2026-03-14 23:17:13.000,8.4
2026-03-14 23:17:13.000,7.2
2026-03-14 23:17:15.000,7.2
2026-03-14 23:17:15.000,8.4
2026-03-14 23:17:17.000,8.4
2026-03-14 23:17:17.000,7.2
2026-03-14 23:18:07.000,7.2
2026-03-14 23:18:07.000,8.4
2026-03-14 23:18:11.000,8.4
2026-03-14 23:18:11.000,7.2
2026-03-14 23:18:31.000,7.2
2026-03-14 23:18:31.000,8.4
2026-03-14 23:18:33.000,8.4
2026-03-14 23:18:33.000,7.2
2026-03-14 23:18:37.000,7.2
2026-03-14 23:18:37.000,8.4
2026-03-14 23:18:39.000,8.4
2026-03-14 23:18:39.000,7.2
2026-03-14 23:18:41.000,7.2
2026-03-14 23:18:41.000,8.4
2026-03-14 23:18:45.000,8.4
2026-03-14 23:18:45.000,7.2
2026-03-14 23:18:47.000,7.2
2026-03-14 23:18:47.000,8.4
2026-03-14 23:18:51.000,8.4
2026-03-14 23:18:51.000,7.2
2026-03-14 23:18:53.000,7.2
2026-03-14 23:18:53.000,8.4
2026-03-14 23:18:57.000,8.4
2026-03-14 23:18:57.000,7.2
2026-03-14 23:19:31.000,7.2
2026-03-14 23:19:31.000,8.4
2026-03-14 23:19:37.000,8.4
2026-03-14 23:19:37.000,7.2
2026-03-14 23:19:51.000,7.2
2026-03-14 23:19:51.000,8.4
2026-03-14 23:19:53.000,8.4
2026-03-14 23:19:53.000,7.2
2026-03-14 23:20:19.000,7.2
2026-03-14 23:20:19.000,8.4
2026-03-14 23:20:25.000,8.4
2026-03-14 23:20:25.000,7.2
